=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
237         SFPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
238         CKBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
239        COTIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
240         ETHUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
241         CHZUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
242         OGNUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
243        GALAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
244        USDCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
245         EDUUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
246         MAVUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
247       CHESSUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
248         SSVUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
249         NFPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
250       EIGENUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
251   1000FLOKIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
252       ALPHAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
253       SWELLUSDT   394          39  2024-11-08 14:00:00 to 2024-11-24 23:00:00
254         FIOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
255         GMXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
256       HIPPOUSDT   277          39  2024-11-13 11:00:00 to 2024-11-24 23:00:00
257        TROYUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
258         LDOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
259        BAKEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
260      ALPACAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
261         BELUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
262         XEMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
263           TUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
264    1000BONKUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
265       MAVIAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
266         BATUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
267        LINKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
268        LOKAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
269          IOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
270       ETHFIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
271      RENDERUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
272        SAFEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
273    1000PEPEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
274       BEAMXUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
275         ZECUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
276         SUIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
277           GUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
278         KASUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
279         PHBUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
280         NEOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
281         DYMUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
282        LQTYUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
283      UXLINKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
284       GRASSUSDT   394          39  2024-11-08 14:00:00 to 2024-11-24 23:00:00
285         AXSUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
286         COWUSDT   443          39  2024-11-06 12:00:00 to 2024-11-24 22:00:00
287       SLERFUSDT    86          39  2024-11-21 10:00:00 to 2024-11-24 23:00:00
288         BNXUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
289        IOSTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
290        BLURUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
291         GRTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
292         RLCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
293        EGLDUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
294       VOXELUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
295         LSKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
296        ARPAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
297        CTSIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
298          AIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
299  1MBABYDOGEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
300         STGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
301        HIGHUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
302        PERPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
303         DARUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
304    NEIROETHUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
305         LPTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
306         POLUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
307          BBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
308        MYROUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
309        WAXPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
310        IOTAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
311        ORBSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
312         KDAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
313         SKLUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
314        AGLDUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
315         AXLUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
316       STORJUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
317         IMXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
318        ASTRUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
